Soil Type,Soil Moisture (%),Temperature (°C),Rainfall (mm),Humidity (%),Seed Type,Depth (inches)
loamy,17.1,2.57,22.49,65.54,cotton,1.36
loamy,67.16,41.02,17.2,73.19,cotton,1.18
loamy,9.93,39.1,16.82,86.64,cotton,1.31
loamy,42.82,15.08,6.03,31.85,sunflower,2.8
sandy,26.39,-16.69,3.6,33.99,peanuts,4.33
loamy,46.93,22.27,9.12,57.03,corn,2.76
sandy,65.3,19.42,15.96,16.33,carrot,1.06
clay,28.34,30.37,0.84,94.74,maize,3.71
loamy,75.19,40.96,29.75,84.29,wheat,1.09
sandy,46.35,42.73,16.82,23.23,carrot,1.04
clay,49.8,8.46,29.8,58.02,wheat,1.07
sandy,21.9,4.11,3.29,4.98,peanuts,4.53
loamy,60.16,-0.7,10.93,18.56,barley,1.99
clay,31.78,29.87,6.61,41.5,beans,3.79
loamy,46.37,20.61,7.85,51.81,corn,2.18
sandy,9.33,-8.16,0.05,17.47,peanuts,3.21
loamy,59.27,44.1,19.04,88.32,wheat,1.16
loamy,68.53,26.49,10.52,74.46,carrot,1.14
sandy,14.4,40.75,26.95,70.57,cotton,1.18
loamy,37.39,20.09,5.72,56.45,barley,2.18
sandy,24.68,8.03,3.76,34.62,beans,3.97
clay,96.2,19.9,5.1,13.1,peanuts,4.37
loamy,22.42,38.1,14.02,96.63,sunflower,1.75
clay,27.86,7.52,6.84,13.95,barley,2.54
loamy,49.16,35.94,21.02,63.91,peanuts,3.2
sandy,54.89,27.99,0.45,99.93,rice,1.7
loamy,41.39,23.48,8.73,40.1,corn,2.8
sandy,16.52,7.65,0.24,10.93,cotton,1.15
loamy,92.92,39.66,20.02,70.85,wheat,1.05
loamy,86.3,-11.16,22.35,31.01,peanuts,4.78
loamy,30.05,41.97,23.77,44.79,carrot,1.35
sandy,14.95,10.45,1.14,27.0,peanuts,4.52
sandy,20.88,6.1,2.53,4.65,maize,3.32
loamy,42.85,19.26,7.6,38.25,sunflower,1.92
loamy,42.34,17.0,8.45,46.23,sunflower,1.64
clay,55.83,27.32,16.82,75.24,wheat,1.18
loamy,38.13,24.12,9.46,30.44,rice,1.95
loamy,37.29,20.59,6.34,50.56,corn,2.8
loamy,43.9,-5.79,13.97,29.52,barley,2.57
clay,12.59,-11.51,10.3,37.97,maize,4.85
loamy,40.07,24.76,7.81,41.57,barley,1.73
sandy,96.72,40.17,13.1,12.91,wheat,1.09
loamy,42.04,15.34,7.02,59.42,rice,2.58
loamy,47.31,20.82,9.28,46.98,corn,2.04
loamy,31.24,22.63,8.65,31.26,corn,2.0
clay,63.07,26.65,23.94,66.28,wheat,1.2
clay,24.01,-2.9,5.96,11.12,maize,4.57
sandy,58.57,41.83,15.97,87.16,maize,4.71
clay,88.9,26.45,16.57,78.39,soybean,1.45
loamy,28.68,34.82,26.31,9.91,barley,2.39
loamy,92.67,32.44,24.28,99.25,cotton,1.04
loamy,50.24,-12.76,23.88,56.77,rice,2.17
clay,16.23,21.06,9.92,10.71,wheat,1.21
sandy,55.96,4.79,0.36,63.24,beans,4.59
clay,12.39,-5.28,12.85,21.6,maize,3.82
sandy,2.27,-14.15,18.23,61.2,beans,4.17
sandy,9.72,6.12,3.69,19.32,beans,3.53
clay,50.91,33.99,11.42,62.17,wheat,1.41
sandy,1.37,7.63,14.92,23.82,peanuts,4.51
loamy,43.07,21.76,9.33,41.34,barley,2.02
loamy,64.8,39.16,11.53,95.66,soybean,1.15
loamy,65.87,18.0,26.02,62.75,maize,3.09
loamy,35.68,16.83,7.02,44.68,corn,2.7
sandy,95.71,41.62,2.71,83.8,barley,2.05
sandy,90.2,18.06,17.64,83.66,rice,2.53
clay,64.76,29.7,17.65,98.37,wheat,1.1
loamy,49.32,21.11,7.77,57.7,corn,2.6
loamy,23.74,-1.93,14.4,51.84,wheat,1.25
sandy,42.21,-10.45,20.47,64.27,carrot,1.32
clay,48.41,9.47,26.8,22.06,sunflower,2.44
sandy,20.03,-3.25,4.18,29.36,maize,4.83
clay,44.49,-12.03,6.08,68.0,sunflower,1.6
sandy,89.12,36.46,2.43,38.96,carrot,1.25
clay,29.17,-14.93,1.82,28.02,rice,2.79
loamy,47.83,19.93,7.59,49.91,barley,1.76
clay,82.9,-4.9,24.71,31.39,cotton,1.15
loamy,48.75,24.16,7.06,46.73,rice,1.51
clay,9.49,42.82,24.32,14.42,soybean,1.14
loamy,41.46,16.91,9.17,45.32,sunflower,2.64
loamy,98.65,33.13,13.06,86.04,soybean,1.28
loamy,58.29,32.52,22.36,76.26,carrot,1.1
clay,55.88,30.58,16.93,88.58,carrot,1.31
loamy,44.06,16.78,6.77,49.47,barley,2.01
loamy,53.36,33.47,25.93,69.52,cotton,1.02
loamy,49.19,22.13,9.68,34.7,corn,2.07
sandy,21.01,13.76,3.84,15.85,peanuts,4.68
loamy,26.33,25.88,29.08,10.77,rice,2.78
loamy,47.62,16.04,5.74,57.9,rice,2.57
loamy,42.98,20.47,5.94,35.41,sunflower,1.82
loamy,61.45,1.9,12.17,52.32,cotton,1.29
sandy,49.99,39.57,15.14,23.88,wheat,1.43
loamy,44.53,17.45,9.17,30.62,corn,1.55
sandy,36.35,39.01,14.58,70.7,sunflower,2.55
sandy,75.57,23.02,2.35,50.32,peanuts,4.72
clay,77.92,31.31,26.15,96.12,cotton,1.25
sandy,1.5,-0.62,4.51,93.27,corn,2.23
loamy,75.24,42.16,29.1,95.16,wheat,1.27
sandy,43.7,38.25,23.56,55.13,soybean,1.35
loamy,11.36,22.18,24.64,43.13,barley,2.92
clay,89.05,43.15,25.91,78.18,wheat,1.35
clay,69.65,36.48,24.6,97.64,carrot,1.2
loamy,64.17,12.56,1.57,61.91,carrot,1.32
loamy,88.58,42.07,21.6,98.91,soybean,1.05
loamy,66.45,35.74,22.52,68.18,soybean,1.4
loamy,85.54,37.68,28.61,65.47,soybean,1.12
loamy,32.48,22.51,5.37,53.16,corn,1.7
clay,73.74,43.42,20.08,92.07,soybean,1.44
loamy,11.98,1.46,1.28,2.13,wheat,1.4
loamy,90.24,25.76,10.22,87.53,cotton,1.07
loamy,17.4,43.08,21.61,72.91,rice,2.98
loamy,12.85,7.24,19.33,22.14,cotton,1.32
loamy,33.35,17.46,5.16,43.82,corn,2.74
sandy,24.91,-13.22,26.23,54.51,beans,4.56
loamy,61.59,35.3,5.17,12.44,sunflower,2.78
sandy,10.97,0.13,0.99,10.5,peanuts,3.88
loamy,83.32,18.3,6.62,39.86,cotton,1.46
loamy,40.41,17.79,9.89,54.42,sunflower,2.82
clay,8.8,5.47,5.62,94.26,wheat,1.28
loamy,37.17,15.41,8.74,50.44,rice,2.83
loamy,98.4,17.28,5.0,7.97,wheat,1.1
sandy,17.7,13.0,0.1,35.12,beans,4.02
loamy,36.7,22.19,7.06,34.46,corn,2.04
sandy,39.6,14.24,26.3,34.07,soybean,1.3
loamy,35.1,15.33,8.77,30.64,rice,2.5
sandy,49.56,19.38,10.88,68.34,corn,1.96
loamy,61.55,38.37,29.75,68.88,soybean,1.23
clay,51.83,42.11,14.98,95.33,carrot,1.33
sandy,64.6,20.79,1.17,71.18,sunflower,1.86
loamy,30.53,44.36,14.37,92.83,beans,3.34
loamy,65.8,27.35,18.8,82.53,wheat,1.1
loamy,50.98,21.46,13.01,52.37,rice,2.0
sandy,73.52,40.04,20.53,15.47,sunflower,1.85
loamy,5.83,-10.57,0.87,28.2,maize,3.37
loamy,66.21,12.96,26.91,76.1,peanuts,4.86
sandy,16.79,-0.18,4.47,13.91,beans,3.63
clay,83.51,40.0,29.42,76.69,carrot,1.35
loamy,68.83,44.85,19.99,79.31,cotton,1.34
clay,13.15,-13.8,9.36,63.45,corn,2.62
sandy,3.06,-19.99,0.59,10.08,beans,4.65
clay,69.25,36.22,22.45,90.39,cotton,1.23
loamy,97.46,-4.02,3.9,57.36,barley,2.64
loamy,86.03,33.79,13.24,69.96,sunflower,2.08
sandy,22.29,37.48,8.35,11.17,rice,2.34
clay,87.51,10.08,2.52,96.01,beans,4.48
clay,84.03,36.43,18.6,83.28,carrot,1.48
loamy,98.58,22.03,13.71,89.98,rice,2.03
sandy,21.62,1.53,1.1,12.91,beans,4.51
loamy,43.42,20.59,7.01,44.43,rice,1.53
sandy,26.15,13.6,2.18,1.5,maize,4.03
sandy,9.83,-19.85,2.21,25.56,maize,3.99
loamy,41.38,19.08,9.4,33.02,sunflower,2.53
loamy,17.28,-10.94,28.9,14.28,barley,2.97
loamy,42.0,24.76,6.25,47.55,corn,2.49
clay,67.61,31.11,26.29,64.19,cotton,1.23
clay,53.21,26.14,16.55,70.93,cotton,1.31
sandy,94.39,-9.45,10.94,81.81,rice,2.59
sandy,1.12,3.58,4.1,35.29,corn,2.56
sandy,24.94,-2.7,2.62,8.73,beans,4.03
sandy,95.22,23.62,10.98,93.67,cotton,1.01
loamy,62.03,32.9,24.64,86.02,wheat,1.07
clay,36.23,-1.48,15.9,75.32,rice,2.37
loamy,91.0,14.82,28.68,29.12,rice,1.73
loamy,51.09,43.6,14.64,61.53,carrot,1.26
loamy,70.97,28.64,26.25,75.2,beans,4.8
sandy,12.85,-2.58,3.06,15.84,maize,3.93
loamy,45.76,16.77,8.71,31.43,corn,1.61
loamy,38.57,17.48,5.05,37.22,rice,1.54
sandy,9.12,-6.44,3.95,13.68,corn,1.74
clay,50.37,43.94,22.59,76.79,cotton,1.14
clay,48.86,31.51,15.2,87.34,sunflower,1.69
clay,19.32,18.74,16.5,27.04,soybean,1.12
sandy,74.54,-12.33,7.78,40.03,corn,2.44
clay,80.22,26.25,28.97,61.58,soybean,1.01
loamy,48.35,23.66,5.75,38.9,corn,2.48
loamy,44.88,24.3,5.4,51.18,rice,1.77
loamy,30.39,6.88,29.79,97.74,beans,3.43
loamy,97.54,30.76,12.23,76.13,wheat,1.06
loamy,54.02,29.86,25.55,47.88,cotton,1.26
clay,54.67,-3.78,6.79,30.89,barley,1.75
loamy,71.22,31.3,15.43,63.08,cotton,1.13
loamy,45.93,23.47,9.06,30.09,sunflower,1.73
clay,20.96,38.69,29.23,21.86,wheat,1.31
sandy,31.32,23.8,21.77,57.38,wheat,1.34
loamy,26.38,13.66,8.52,76.77,carrot,1.1
sandy,98.91,15.13,24.24,14.25,soybean,1.46
clay,35.49,29.54,15.46,27.68,soybean,1.43
clay,98.04,41.15,20.43,62.17,cotton,1.14
clay,61.06,37.39,13.18,80.04,soybean,1.26
loamy,37.17,17.06,8.26,57.47,sunflower,2.98
loamy,80.21,1.05,7.76,45.0,rice,2.23
loamy,49.27,-14.24,3.93,61.83,corn,2.56
clay,76.59,17.77,18.43,88.96,beans,3.76
sandy,6.29,1.04,0.31,3.18,maize,4.34
loamy,96.83,-5.37,4.13,88.28,sunflower,2.72
loamy,44.34,21.59,9.92,42.5,corn,2.87
clay,78.63,34.76,28.5,95.76,maize,4.3
sandy,0.96,-1.19,2.95,37.58,beans,3.76
sandy,26.39,-20.03,0.44,13.29,beans,3.38
sandy,55.58,38.02,21.93,41.59,carrot,1.07
loamy,37.89,18.77,9.4,50.41,barley,1.66
clay,67.95,27.12,12.08,72.25,carrot,1.29
clay,94.64,-14.24,16.6,38.26,maize,3.51
loamy,18.27,22.93,7.79,15.07,beans,4.65
loamy,61.72,24.55,7.4,20.87,peanuts,3.4
sandy,12.8,-14.06,0.79,8.83,maize,4.04
sandy,62.0,24.85,5.27,85.73,maize,3.51
loamy,93.96,28.72,19.06,77.94,wheat,1.13
clay,47.86,25.1,10.92,31.62,soybean,1.16
loamy,94.64,29.63,24.44,98.97,wheat,1.42
loamy,73.13,4.5,11.75,58.19,cotton,1.26
clay,26.94,43.55,29.34,49.71,barley,2.46
loamy,40.39,17.31,8.16,33.54,corn,2.87
loamy,49.46,19.89,9.98,39.15,rice,1.62
loamy,57.49,40.09,10.66,81.24,wheat,1.13
sandy,29.31,13.41,4.69,7.13,beans,3.19
loamy,72.34,34.49,18.17,99.42,carrot,1.41
sandy,89.83,-11.75,5.28,80.95,wheat,1.24
clay,90.43,41.49,24.48,85.78,cotton,1.44
loamy,97.45,6.82,29.33,49.11,beans,4.48
sandy,15.2,-1.74,2.34,18.41,beans,4.53
clay,90.2,-0.56,15.36,5.98,barley,1.67
loamy,32.15,16.19,6.34,32.57,sunflower,2.35
loamy,60.47,41.52,23.33,61.37,cotton,1.24
loamy,67.92,29.38,25.64,84.02,wheat,1.14
loamy,97.71,38.03,27.91,97.7,carrot,1.19
clay,84.6,34.28,8.24,53.72,corn,1.95
clay,3.39,34.44,29.41,61.79,wheat,1.12
sandy,51.15,28.88,24.85,58.17,soybean,1.44
loamy,48.44,22.35,5.86,55.66,sunflower,2.66
clay,52.04,44.65,21.49,73.04,wheat,1.24
loamy,67.17,39.59,17.47,64.0,carrot,1.02
clay,50.51,32.74,10.98,89.1,cotton,1.45
clay,18.08,40.69,4.64,62.97,corn,1.6
sandy,89.61,26.02,5.43,5.27,sunflower,1.57
sandy,13.34,7.86,1.52,25.22,beans,3.58
clay,79.38,38.63,29.49,62.09,carrot,1.12
clay,29.17,0.48,3.1,10.51,cotton,1.07
sandy,24.69,-17.91,0.39,19.71,beans,3.16
clay,57.3,-3.51,26.06,51.77,barley,1.92
loamy,48.01,18.76,9.39,52.86,corn,2.52
clay,78.11,43.06,6.31,49.79,maize,3.25
loamy,31.23,-13.58,0.64,45.94,soybean,1.28
loamy,0.56,11.94,23.34,50.06,beans,4.42
loamy,99.63,28.67,10.88,88.91,soybean,1.12
loamy,75.99,40.52,11.83,97.97,corn,1.79
loamy,38.18,19.33,8.82,48.31,barley,2.94
sandy,76.81,18.41,23.79,66.06,beans,4.79
clay,95.06,31.81,24.82,79.42,soybean,1.48
clay,58.74,19.13,28.14,62.26,peanuts,3.48
clay,80.86,35.27,10.21,94.79,soybean,1.32
loamy,86.45,32.95,14.62,62.05,soybean,1.19
sandy,0.55,-23.48,4.62,26.71,peanuts,3.89
loamy,98.54,33.11,29.5,97.28,carrot,1.29
sandy,46.0,41.28,29.65,44.88,carrot,1.41
sandy,26.27,-22.53,0.39,8.85,maize,3.93
clay,63.05,22.78,17.96,33.02,sunflower,2.86
clay,81.36,32.07,14.74,66.05,carrot,1.15
clay,51.66,29.47,7.65,67.8,carrot,1.1
sandy,25.15,-15.54,0.88,21.59,peanuts,4.09
sandy,8.94,13.09,1.5,21.23,peanuts,4.73
sandy,13.62,-23.51,2.22,37.57,beans,3.35
sandy,11.59,39.75,8.59,4.04,rice,2.75
sandy,2.65,-13.73,1.64,2.14,maize,4.07
sandy,18.41,-10.1,1.29,26.94,maize,3.63
loamy,67.15,42.29,20.28,68.98,carrot,1.34
clay,14.36,-2.83,0.07,11.93,corn,2.34
sandy,15.59,24.29,1.82,21.06,corn,2.81
sandy,76.03,29.8,25.47,58.26,sunflower,1.57
sandy,12.61,-22.42,4.21,21.65,beans,3.81
clay,61.51,25.98,13.07,98.6,soybean,1.02
sandy,60.33,23.07,24.94,48.98,maize,3.26
clay,82.52,44.97,20.68,89.56,wheat,1.5
loamy,34.67,24.1,8.24,51.81,sunflower,2.96
clay,96.66,-1.81,17.13,38.97,cotton,1.17
clay,2.07,2.66,13.88,63.73,barley,2.25
sandy,54.14,17.84,27.06,9.1,corn,2.27
loamy,36.22,24.36,7.12,43.14,rice,2.34
sandy,74.15,-9.49,17.93,4.2,cotton,1.05
sandy,64.55,-3.38,20.89,15.2,barley,2.43
sandy,6.27,12.42,1.29,29.43,maize,4.11
loamy,46.26,16.25,9.37,49.29,rice,2.0
clay,75.89,39.79,16.8,61.68,wheat,1.17
clay,86.61,7.23,14.44,19.19,soybean,1.03
clay,7.79,-11.24,17.19,87.73,rice,2.19
loamy,53.47,27.99,13.37,96.58,cotton,1.4
loamy,37.91,19.83,6.27,41.74,barley,2.98
clay,85.4,17.82,13.65,59.94,carrot,1.06
sandy,69.6,-2.79,13.23,46.31,corn,2.22
loamy,70.91,-13.56,27.37,75.58,rice,1.87
sandy,24.19,9.82,0.08,38.02,maize,3.2
clay,62.25,28.03,12.97,99.83,cotton,1.25
sandy,23.94,-14.6,4.69,23.57,maize,3.29
clay,1.15,37.69,12.86,39.67,carrot,1.2
loamy,68.5,43.06,22.81,69.25,cotton,1.12
clay,45.98,21.96,27.34,29.82,carrot,1.16
clay,91.66,32.61,26.84,67.87,soybean,1.16
sandy,13.97,12.98,0.77,21.56,beans,3.53
loamy,98.21,34.41,10.44,71.28,wheat,1.4
clay,54.59,39.33,24.54,59.15,carrot,1.47
clay,14.41,-6.37,2.06,62.47,cotton,1.11
loamy,43.59,22.31,5.05,54.16,rice,1.51
sandy,74.78,37.24,12.61,59.48,maize,4.63
sandy,22.08,-5.06,4.24,38.01,maize,4.91
clay,92.25,15.02,13.3,7.17,rice,1.56
clay,94.25,43.54,17.47,73.41,cotton,1.41
loamy,86.42,-6.14,14.92,77.62,beans,4.22
clay,47.44,19.56,7.43,90.8,peanuts,3.64
loamy,88.87,31.96,18.92,90.82,cotton,1.32
loamy,18.51,19.94,24.44,23.75,cotton,1.49
sandy,34.57,33.96,17.21,51.95,soybean,1.28
loamy,31.11,16.22,8.0,49.36,rice,2.53
clay,56.69,-4.6,12.49,54.65,sunflower,1.69
loamy,17.37,33.23,12.02,58.19,maize,4.44
sandy,40.87,5.66,0.33,21.84,rice,2.46
loamy,89.32,11.59,19.44,67.01,sunflower,2.91
loamy,84.14,39.5,16.87,95.8,soybean,1.08
loamy,92.99,35.13,15.2,98.82,carrot,1.25
loamy,48.89,21.94,7.19,31.76,corn,2.8
sandy,93.79,6.86,14.62,94.27,peanuts,4.43
clay,64.85,25.57,17.33,70.08,cotton,1.29
sandy,22.11,5.98,4.46,11.23,beans,4.51
clay,98.71,33.51,13.68,75.85,carrot,1.25
sandy,68.78,34.25,19.57,9.06,sunflower,1.52
loamy,45.96,23.5,8.66,49.84,barley,1.76
loamy,55.51,32.29,15.0,82.41,wheat,1.23
clay,96.48,-6.82,3.98,13.97,cotton,1.03
sandy,14.15,9.09,1.26,20.73,peanuts,4.23
loamy,37.73,22.83,7.18,50.45,corn,2.82
loamy,63.71,27.37,17.93,76.61,carrot,1.47
sandy,14.06,-8.58,4.57,11.19,peanuts,4.24
loamy,19.86,-6.16,2.02,19.03,cotton,1.47
loamy,78.15,17.83,13.85,53.61,wheat,1.06
clay,61.34,40.17,27.17,74.95,cotton,1.39
clay,48.59,44.25,0.14,93.44,soybean,1.21
sandy,4.56,9.8,2.2,14.51,maize,4.91
sandy,9.53,18.31,10.74,60.62,sunflower,2.83
loamy,79.77,38.21,16.9,88.58,cotton,1.17
sandy,99.0,3.77,10.85,4.88,soybean,1.18
loamy,56.78,40.27,20.33,74.12,carrot,1.27
loamy,33.8,24.02,6.14,54.24,sunflower,2.33
sandy,20.71,9.1,0.95,15.68,maize,3.04
loamy,34.58,18.43,8.95,59.07,corn,2.63
sandy,13.32,-12.42,1.72,18.19,peanuts,3.78
loamy,65.68,31.8,15.63,74.32,soybean,1.3
loamy,60.25,43.26,22.77,71.44,soybean,1.48
loamy,50.55,21.92,28.74,34.76,carrot,1.25
clay,61.07,41.87,10.31,95.24,carrot,1.06
loamy,47.23,21.35,7.62,48.05,sunflower,2.31
clay,63.8,40.17,29.24,66.8,carrot,1.46
loamy,88.32,36.38,20.35,69.47,wheat,1.09
clay,54.08,18.16,17.95,46.56,barley,2.43
sandy,7.98,-0.33,3.69,12.58,peanuts,4.52
loamy,38.65,24.08,9.54,56.44,sunflower,2.61
loamy,80.28,42.12,8.33,79.79,soybean,1.04
clay,61.42,33.91,15.25,86.97,soybean,1.21
loamy,67.77,-11.19,29.41,46.51,barley,2.81
clay,67.71,30.2,3.46,29.47,sunflower,2.72
loamy,63.48,41.48,23.27,94.88,carrot,1.31
loamy,48.37,16.81,9.13,40.96,barley,2.71
sandy,40.14,-1.33,21.87,81.05,soybean,1.43
loamy,76.41,24.33,7.28,35.9,peanuts,4.7
loamy,46.14,23.42,9.32,58.95,corn,2.75
clay,3.93,23.6,19.13,78.67,soybean,1.18
clay,65.97,33.76,28.51,75.08,soybean,1.41
loamy,41.65,24.79,8.15,40.31,sunflower,2.31
clay,22.31,42.58,3.73,14.51,rice,2.76
loamy,30.78,16.3,9.41,41.11,rice,2.81
loamy,35.6,22.25,8.65,35.99,rice,1.66
loamy,37.66,16.92,7.01,41.19,corn,2.6
loamy,67.54,25.04,16.11,82.64,cotton,1.16
clay,50.43,0.26,10.96,72.19,cotton,1.04
sandy,35.95,2.66,0.89,10.2,soybean,1.31
loamy,53.17,38.83,16.0,86.48,carrot,1.46
clay,63.13,-10.0,23.6,20.83,cotton,1.39
clay,35.0,21.99,5.13,99.17,maize,3.8
sandy,18.16,-10.73,4.42,8.91,maize,3.06
clay,68.22,34.38,21.75,90.33,wheat,1.2
sandy,24.18,-7.02,3.78,26.58,peanuts,3.55
clay,53.8,29.93,15.81,91.33,soybean,1.07
clay,55.42,41.06,25.88,70.54,wheat,1.42
clay,27.97,20.91,21.89,35.29,beans,3.66
sandy,9.49,12.01,1.33,18.62,maize,4.07
loamy,42.79,16.63,5.71,40.45,barley,1.72
loamy,47.62,16.28,9.77,58.13,barley,2.13
loamy,65.84,3.95,19.78,75.31,peanuts,3.18
loamy,33.48,41.77,11.15,35.37,beans,4.96
clay,85.24,40.18,7.34,41.95,peanuts,4.04
loamy,38.68,20.33,7.76,49.02,rice,2.1
loamy,49.36,18.32,7.27,45.64,barley,1.76
clay,75.42,35.09,19.08,82.6,sunflower,2.66
loamy,39.01,17.37,7.63,48.01,barley,2.81
loamy,13.19,18.16,5.0,85.87,beans,4.4
sandy,9.51,-10.21,0.67,1.43,beans,4.58
loamy,96.37,34.54,18.36,5.02,carrot,1.07
clay,87.28,32.08,24.95,92.76,soybean,1.45
clay,52.87,0.93,4.46,59.61,carrot,1.04
loamy,30.26,22.68,9.38,53.03,corn,2.21
loamy,39.65,16.71,8.73,49.5,barley,2.26
clay,2.46,-6.9,13.76,77.7,carrot,1.41
loamy,76.41,20.98,16.81,40.05,sunflower,2.38
loamy,43.91,23.15,8.55,42.88,barley,1.66
sandy,88.52,19.21,16.88,28.92,wheat,1.31
loamy,47.87,16.85,8.1,49.19,barley,2.83
clay,91.51,25.47,26.42,71.53,soybean,1.01
loamy,47.39,15.28,5.36,30.52,corn,1.89
clay,60.75,25.48,16.54,44.78,wheat,1.33
loamy,82.99,21.82,4.61,79.06,wheat,1.42
clay,42.69,-8.75,21.32,93.92,beans,3.76
loamy,74.18,11.47,8.39,75.53,cotton,1.29
loamy,65.58,27.27,23.18,39.97,beans,4.17
loamy,52.26,43.05,14.58,90.77,cotton,1.25
loamy,40.34,16.76,9.34,43.33,sunflower,2.86
sandy,17.82,35.48,22.77,8.29,cotton,1.23
sandy,9.25,2.81,1.99,22.41,beans,3.51
loamy,76.29,-6.65,19.46,35.4,rice,2.51
loamy,55.54,33.35,28.92,83.89,corn,2.32
loamy,20.21,2.31,3.81,94.0,beans,4.02
loamy,41.74,25.0,9.0,30.29,sunflower,2.97
clay,58.61,-11.93,27.17,34.13,sunflower,2.08
clay,76.42,35.51,18.93,65.78,wheat,1.4
loamy,44.61,23.35,5.75,39.49,sunflower,2.74
clay,85.38,27.24,20.45,62.87,carrot,1.37
clay,35.12,-11.57,10.12,38.2,cotton,1.17
sandy,6.15,7.5,3.64,20.13,maize,3.21
sandy,14.63,2.58,1.4,23.65,peanuts,3.91
sandy,29.18,1.67,2.29,10.12,peanuts,4.04
clay,50.64,16.49,10.4,66.82,soybean,1.11
sandy,89.34,-0.1,2.91,11.3,rice,2.23
clay,69.73,22.49,17.27,57.95,maize,3.17
loamy,16.05,-2.79,26.1,56.48,sunflower,2.28
clay,15.31,29.19,7.02,54.56,maize,3.36
clay,39.26,40.47,25.05,40.32,barley,1.67
sandy,36.07,44.62,23.42,94.52,maize,4.27
sandy,84.04,9.89,23.72,18.85,wheat,1.23
loamy,38.6,18.31,9.12,36.94,sunflower,2.44
loamy,48.9,-10.12,1.7,3.65,cotton,1.12
sandy,90.09,-9.45,3.88,72.76,rice,1.73
loamy,39.25,17.41,8.03,59.16,rice,1.64
sandy,59.13,3.79,7.09,30.41,cotton,1.0
clay,0.96,20.88,22.31,49.13,rice,1.75
loamy,54.06,39.5,20.55,95.25,wheat,1.42
loamy,34.44,19.98,9.37,43.88,barley,2.76
sandy,20.78,-22.14,2.68,37.45,maize,3.25
loamy,43.01,18.46,5.45,32.28,corn,2.03
loamy,66.34,12.03,7.41,87.7,sunflower,1.8
loamy,54.53,10.76,11.88,24.34,sunflower,2.36
sandy,22.89,-10.55,12.14,80.37,sunflower,2.41
clay,97.76,41.82,13.32,78.64,beans,3.27
loamy,26.12,22.96,18.21,47.44,peanuts,3.66
clay,92.51,9.51,22.11,32.64,maize,3.43
clay,79.64,43.01,27.6,77.37,sunflower,1.56
clay,65.12,13.68,13.64,6.38,corn,2.28
sandy,30.92,-10.29,12.19,91.53,barley,2.54
clay,51.39,3.22,17.2,81.72,sunflower,2.06
sandy,27.44,7.42,6.94,11.89,peanuts,3.11
loamy,38.98,21.51,9.6,50.38,corn,2.43
loamy,31.38,15.21,8.58,36.17,sunflower,1.87
sandy,81.3,23.28,9.57,26.44,corn,2.84
sandy,58.42,24.11,25.82,40.9,peanuts,4.54
loamy,54.54,35.38,29.39,74.1,soybean,1.3
loamy,36.91,20.19,8.12,51.32,barley,1.92
sandy,16.87,6.25,0.58,35.14,peanuts,4.39
sandy,19.65,20.62,10.03,8.59,beans,4.79
loamy,31.73,21.48,5.28,41.91,corn,2.08
loamy,59.9,30.87,16.73,80.52,barley,2.41
loamy,33.89,24.18,5.46,48.34,sunflower,2.72
sandy,27.98,-0.7,0.26,11.11,peanuts,3.73
sandy,2.8,13.03,3.39,10.83,peanuts,3.31
clay,49.31,3.51,12.89,40.84,rice,2.04
sandy,22.04,2.14,0.32,6.91,peanuts,4.48
loamy,11.81,18.34,19.24,17.61,cotton,1.46
clay,90.8,-3.54,29.29,83.37,cotton,1.04
loamy,72.58,43.74,28.93,7.16,sunflower,2.34
sandy,1.28,-17.79,0.78,25.07,peanuts,3.49
sandy,10.78,31.35,24.81,89.53,barley,2.88
clay,77.05,35.64,29.06,82.88,cotton,1.3
sandy,83.28,-5.89,8.73,64.12,corn,1.79
loamy,77.47,17.19,12.07,72.35,rice,2.18
loamy,15.76,-14.93,8.46,63.96,peanuts,4.81
clay,50.97,37.23,22.04,84.67,soybean,1.01
loamy,66.99,25.84,6.05,15.83,barley,2.28
loamy,41.7,15.94,5.47,40.9,barley,2.49
loamy,39.8,16.95,7.46,43.6,corn,2.69
loamy,83.38,39.81,11.54,85.16,wheat,1.27
sandy,26.43,14.23,3.78,26.3,maize,3.15
loamy,41.71,17.19,7.38,43.89,rice,2.88
sandy,10.68,-0.39,4.76,26.18,maize,4.27
clay,81.47,-11.25,23.09,30.51,wheat,1.02
loamy,83.02,33.02,25.29,98.7,cotton,1.34
sandy,81.07,13.0,1.2,3.5,maize,3.13
clay,69.04,12.02,22.39,20.45,peanuts,4.63
loamy,69.96,44.32,14.51,93.54,carrot,1.16
sandy,17.97,14.5,1.44,32.05,beans,4.08
clay,14.37,10.18,2.68,38.03,wheat,1.24
sandy,13.96,-0.78,2.65,23.4,beans,3.89
clay,9.81,-9.18,20.54,14.04,rice,2.0
loamy,43.23,16.14,8.91,53.5,barley,2.97
sandy,24.97,-14.04,0.6,34.18,beans,3.79
clay,97.03,30.44,5.25,68.09,soybean,1.41
clay,59.69,41.32,19.86,95.03,carrot,1.1
loamy,86.42,33.45,16.71,74.87,carrot,1.26
clay,74.23,-6.86,2.09,1.54,beans,3.08
loamy,64.67,36.04,16.02,83.74,cotton,1.47
loamy,52.57,-0.92,16.78,83.44,peanuts,3.67
